"GOID","Ontology","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"GO:0055105","MF","ubiquitin-protein transferase inhibitor activity","1/51","11/191179",0.00293058837157223,1,"RPS20",0.00630632940718075
"GO:0097371","MF","MDM2/MDM4 family protein binding","1/51","11/191179",0.00293058837157223,1,"RPS20",0.00630632940718075
"GO:0097367","MF","carbohydrate derivative binding","4/51","2262/191179",0.00313953941948139,4,"DDX19A/EIF2S3B/EIF4A1/RNASE3",0.00667152126639795
"GO:0004000","MF","adenosine deaminase activity","1/51","13/191179",0.00346251725064861,1,"ADAT3",0.00700747538821743
"GO:0008174","MF","mRNA methyltransferase activity","1/51","13/191179",0.00346251725064861,1,"CMTR2",0.00700747538821743
"GO:0008494","MF","translation activator activity","1/51","13/191179",0.00346251725064861,1,"RPS27L",0.00700747538821743
"GO:0097157","MF","pre-mRNA intronic binding","1/51","13/191179",0.00346251725064861,1,"RBM4",0.00700747538821743
"GO:0031404","MF","chloride ion binding","1/51","14/191179",0.00372837734930742,1,"NUDT16",0.00745675469861484
"GO:0043168","MF","anion binding","4/51","2421/191179",0.00399492511289584,4,"DDX19A/EIF2S3B/EIF4A1/NUDT16",0.00789694499060805
"GO:0000900","MF","mRNA regulatory element binding translation repressor activity","1/51","16/191179",0.00425988895400886,1,"PURA",0.00822933093388076
"GO:0030275","MF","LRR domain binding","1/51","16/191179",0.00425988895400886,1,"POLR2J",0.00822933093388076
"GO:0017110","MF","nucleoside diphosphate phosphatase activity","1/51","17/191179",0.00452554049569476,1,"NUDT16",0.00864429083447313
"GO:0036094","MF","small molecule binding","4/51","2550/191179",0.00479564676850025,4,"DDX19A/EIF2S3B/EIF4A1/NUDT16",0.00905844389605603
"GO:0016887","MF","ATP hydrolysis activity","2/51","412/191179",0.00550874294824554,2,"DDX19A/EIF4A1",0.0102910582549642
"GO:0008656","MF","cysteine-type endopeptidase activator activity involved in apoptotic process","1/51","21/191179",0.00558745200697419,1,"RPS27L",0.0103246395781045
"GO:0008171","MF","O-methyltransferase activity","1/51","23/191179",0.00611799121857248,1,"CMTR2",0.0110644522038013
"GO:0008649","MF","rRNA methyltransferase activity","1/51","23/191179",0.00611799121857248,1,"NOP2",0.0110644522038013
"GO:0016505","MF","peptidase activator activity involved in apoptotic process","1/51","24/191179",0.00638315675063938,1,"RPS27L",0.0113035067459239
"GO:0140416","MF","transcription regulator inhibitor activity","1/51","24/191179",0.00638315675063938,1,"PURA",0.0113035067459239
"GO:0048027","MF","mRNA 5'-UTR binding","1/51","25/191179",0.00664825292393223,1,"RPL41",0.0115326836435559
"GO:0140102","MF","catalytic activity, acting on a rRNA","1/51","25/191179",0.00664825292393223,1,"NOP2",0.0115326836435559
"GO:0055106","MF","ubiquitin-protein transferase regulator activity","1/51","27/191179",0.0071782372653052,1,"RPS20",0.0123262660111301
"GO:0043236","MF","laminin binding","1/51","28/191179",0.00744312546893067,1,"RPSA",0.0126533132971821
"GO:0140678","MF","molecular function inhibitor activity","2/51","509/191179",0.00827474199299117,2,"PURA/RPS20",0.0139277835525594
"GO:0030515","MF","snoRNA binding","1/51","32/191179",0.00850198558418092,1,"NUDT16",0.0141699759736349
"GO:0019239","MF","deaminase activity","1/51","33/191179",0.00876652752695384,1,"ADAT3",0.014329900765213
"GO:0031369","MF","translation initiation factor binding","1/51","33/191179",0.00876652752695384,1,"POLR2G",0.014329900765213
"GO:0016891","MF","RNA endonuclease activity, producing 5'-phosphomonoesters","1/51","34/191179",0.00903100027080461,1,"NUDT16",0.0144836796795923
"GO:0030332","MF","cyclin binding","1/51","34/191179",0.00903100027080461,1,"RBM4",0.0144836796795923
"GO:0016814","MF","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines","1/51","36/191179",0.00955973823269274,1,"ADAT3",0.0151883691547455
"GO:0042162","MF","telomeric DNA binding","1/51","38/191179",0.0100881996117043,1,"PURA",0.0158795734628678
"GO:0001530","MF","lipopolysaccharide binding","1/51","39/191179",0.0103523266269434,1,"RNASE3",0.016088585796839
"GO:0140657","MF","ATP-dependent activity","2/51","574/191179",0.0104102613979546,2,"DDX19A/EIF4A1",0.016088585796839
"GO:0035198","MF","miRNA binding","1/51","42/191179",0.0111442931881823,1,"RBM4",0.0169154450177767
"GO:0043028","MF","cysteine-type endopeptidase regulator activity involved in apoptotic process","1/51","42/191179",0.0111442931881823,1,"RPS27L",0.0169154450177767
"GO:0016893","MF","endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters","1/51","43/191179",0.0114081439394622,1,"NUDT16",0.0171626944221998
"GO:0035639","MF","purine ribonucleoside triphosphate binding","3/51","1818/191179",0.0127373307484219,3,"DDX19A/EIF2S3B/EIF4A1",0.0189942651511554
"GO:0016504","MF","peptidase activator activity","1/51","52/191179",0.0137796968455134,1,"RPS27L",0.0203699866411937
"GO:0032555","MF","purine ribonucleotide binding","3/51","1885/191179",0.0140238883870634,3,"DDX19A/EIF2S3B/EIF4A1",0.0205522502224205
"GO:0032553","MF","ribonucleotide binding","3/51","1902/191179",0.0143616916308525,3,"DDX19A/EIF2S3B/EIF4A1",0.0208674151901275
"GO:0050840","MF","extracellular matrix binding","1/51","55/191179",0.0145689743172999,1,"RPSA",0.0209892002876354
"GO:0061980","MF","regulatory RNA binding","1/51","56/191179",0.014831929164989,1,"RBM4",0.0211884702356986
"GO:0016765","MF","transferase activity, transferring alkyl or aryl (other than methyl) groups","1/51","60/191179",0.0158830608116256,1,"TRMT12",0.0225010028164696
"GO:0017076","MF","purine nucleotide binding","3/51","1988/191179",0.0161414860048419,3,"DDX19A/EIF2S3B/EIF4A1",0.022678120833249
"GO:0016788","MF","hydrolase activity, acting on ester bonds","2/51","745/191179",0.0170444121403093,2,"NUDT16/RNASE3",0.0235573175922974
"GO:0030145","MF","manganese ion binding","1/51","64/191179",0.0169330929137627,1,"NUDT16",0.0235573175922974
"GO:0098631","MF","cell adhesion mediator activity","1/51","65/191179",0.0171954292675882,1,"RPSA",0.0235743788345967
"GO:0098772","MF","molecular function regulator activity","3/51","2053/191179",0.0175656321836196,3,"PURA/RPS20/RPS27L",0.0238892597697227
"GO:0008235","MF","metalloexopeptidase activity","1/51","68/191179",0.0179820265986073,1,"NUDT16",0.0242614644584384
"GO:0003725","MF","double-stranded RNA binding","1/51","73/191179",0.0192916507707435,1,"EIF4A1",0.0258234695356409
"GO:0004521","MF","RNA endonuclease activity","1/51","74/191179",0.0195533700564317,1,"NUDT16",0.0259693196061983
