"GOID","Ontology","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"GO:0071826","BP","protein-RNA complex organization","7/51","243/191179",5.42385447680884e-13,7,"EIF2S3B/MCTS1/NOP2/RPL10/RPS27L/RPSA/SMN1",8.87402857455668e-12
"GO:0042254","BP","ribosome biogenesis","7/51","325/191179",4.17534043694719e-12,7,"NOP2/NUDT16/RPL10/RPS27L/RPS8/RPSA/UTP3",6.64669058746459e-11
"GO:0000377","BP","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","7/51","332/191179",4.84687663392104e-12,7,"HNRNPA1L2/HNRNPA3/NCBP2L/RBM4/SMN1/SNRNP27/ZRSR2P1",7.32002650610126e-11
"GO:0000398","BP","mRNA splicing, via spliceosome","7/51","332/191179",4.84687663392104e-12,7,"HNRNPA1L2/HNRNPA3/NCBP2L/RBM4/SMN1/SNRNP27/ZRSR2P1",7.32002650610126e-11
"GO:0000375","BP","RNA splicing, via transesterification reactions","7/51","336/191179",5.27049746477137e-12,7,"HNRNPA1L2/HNRNPA3/NCBP2L/RBM4/SMN1/SNRNP27/ZRSR2P1",7.76080751687585e-11
"GO:0034470","BP","ncRNA processing","7/51","439/191179",3.40530369329545e-11,7,"ADAT3/LCMT2/NOP2/NUDT16/RPS8/TRMT12/UTP3",4.89200945207566e-10
"GO:0008380","BP","RNA splicing","7/51","478/191179",6.15456231617002e-11,7,"HNRNPA1L2/HNRNPA3/NCBP2L/RBM4/SMN1/SNRNP27/ZRSR2P1",8.63104096243843e-10
"GO:0006413","BP","translational initiation","5/51","123/191179",2.32926221775427e-10,5,"EIF2S3B/EIF4A1/MCTS1/POLR2G/RBM4",3.1905475494355e-09
"GO:0002183","BP","cytoplasmic translational initiation","4/51","40/191179",4.07430914063354e-10,4,"EIF2S3B/EIF4A1/MCTS1/RBM4",5.45401837234808e-09
"GO:0034660","BP","ncRNA metabolic process","7/51","631/191179",4.21383508886137e-10,7,"ADAT3/LCMT2/NOP2/NUDT16/RPS8/TRMT12/UTP3",5.51544192742077e-09
"GO:0042255","BP","ribosome assembly","4/51","64/191179",2.81926751901511e-09,4,"NOP2/RPL10/RPS27L/RPSA",3.60988819282587e-08
"GO:0006417","BP","regulation of translation","6/51","537/191179",7.72732907109915e-09,6,"POLR2G/PURA/RBM4/RPL10/RPS27L/ZCCHC13",9.68382302739872e-08
"GO:0001510","BP","RNA methylation","4/51","93/191179",1.28816740676363e-08,4,"CMTR2/LCMT2/NOP2/TRMT12",1.58068875538287e-07
