"ID","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"hsa04137","Mitophagy - animal - Homo sapiens (human)","3/390","105/191179",0.00135353533048463,3,"EIF2S1/RPS27A/UBA52",0.00820083170823043
"hsa04350","TGF-beta signaling pathway - Homo sapiens (human)","3/390","110/191179",0.00154663337823133,3,"SMAD2/SMAD4/SMAD5",0.00885017988654592
"hsa05012","Parkinson disease - Homo sapiens (human)","4/390","268/191179",0.00234756127811937,4,"EIF2S1/PSMA6/RPS27A/UBA52",0.0127262532445419
"hsa04371","Apelin signaling pathway - Homo sapiens (human)","3/390","140/191179",0.0030662653770555,3,"RPS6/SMAD2/SMAD4",0.0139505835572727
"hsa04216","Ferroptosis - Homo sapiens (human)","2/390","42/191179",0.00338606397021181,2,"PCBP1/PCBP2",0.0139505835572727
"hsa04550","Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)","3/390","144/191179",0.00331872841200452,3,"SMAD2/SMAD4/SMAD5",0.0139505835572727
"hsa05162","Measles - Homo sapiens (human)","3/390","136/191179",0.00282598172245331,3,"EIF2S1/EIF3H/RIGI",0.0139505835572727
"hsa05322","Systemic lupus erythematosus - Homo sapiens (human)","3/390","143/191179",0.0032544602920118,3,"SNRPD3/SSB/TRIM21",0.0139505835572727
"hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)","5/390","480/191179",0.00325261800463719,5,"EIF2S1/PSMA6/RPS27A/TARDBP/UBA52",0.0139505835572727
"hsa04140","Autophagy - animal - Homo sapiens (human)","3/390","169/191179",0.00518385965077397,3,"EIF2S1/RPS27A/UBA52",0.0205360593857584
"hsa05134","Legionellosis - Homo sapiens (human)","2/390","56/191179",0.0059435294087454,2,"CLK4/EEF1A2",0.0226734640407695
"hsa05212","Pancreatic cancer - Homo sapiens (human)","2/390","77/191179",0.0109794832498198,2,"SMAD2/SMAD4",0.0403888133832656
"hsa03083","Polycomb repressive complex - Homo sapiens (human)","2/390","83/191179",0.0126673932165131,2,"EED/WDR5",0.0449910862517535
"hsa05210","Colorectal cancer - Homo sapiens (human)","2/390","87/191179",0.0138513940856,2,"SMAD2/SMAD4",0.0475564530272265
