"GOID","Ontology","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"GO:0044391","CC","ribosomal subunit","13/51","188/191179",2.42660417506678e-28,13,"MRPS28/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA",3.52960607282441e-27
"GO:0022626","CC","cytosolic ribosome","12/51","118/191179",2.66866274427562e-28,12,"RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA",3.5582169923675e-27
"GO:1990904","CC","ribonucleoprotein complex","18/51","1173/191179",3.07765350190408e-27,18,"HNRNPA1L2/HNRNPA3/MRPS28/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SNRNP27/UTP3/ZRSR2P1",3.78788123311272e-26
"GO:0005840","CC","ribosome","13/51","246/191179",8.76336174640431e-27,13,"MRPS28/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA",1.00152705673192e-25
"GO:0031974","CC","membrane-enclosed lumen","26/51","6112/191179",1.43677679446389e-25,26,"ADAT3/DDX19A/FASTKD5/FIP1L1/FUBP1/HNRNPA3/MRPS28/NOP2/NUDT16/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/RBM4/RNASE3/RPL3/RPL36/RPS20/RPS29/RPS8/RPSA/SMN1/SNRNP27/UTP3",1.3522605124366e-24
"GO:0043233","CC","organelle lumen","26/51","6112/191179",1.43677679446389e-25,26,"ADAT3/DDX19A/FASTKD5/FIP1L1/FUBP1/HNRNPA3/MRPS28/NOP2/NUDT16/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/RBM4/RNASE3/RPL3/RPL36/RPS20/RPS29/RPS8/RPSA/SMN1/SNRNP27/UTP3",1.3522605124366e-24
"GO:0070013","CC","intracellular organelle lumen","26/51","6112/191179",1.43677679446389e-25,26,"ADAT3/DDX19A/FASTKD5/FIP1L1/FUBP1/HNRNPA3/MRPS28/NOP2/NUDT16/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/RBM4/RNASE3/RPL3/RPL36/RPS20/RPS29/RPS8/RPSA/SMN1/SNRNP27/UTP3",1.3522605124366e-24
"GO:0031981","CC","nuclear lumen","23/51","4984/191179",3.4480893289003e-23,23,"ADAT3/DDX19A/FIP1L1/FUBP1/HNRNPA3/NOP2/NUDT16/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/RBM4/RPL3/RPL36/RPS20/RPS29/RPS8/RPSA/SMN1/SNRNP27/UTP3",2.83649302723016e-22
"GO:0043228","CC","non-membrane-bounded organelle","24/51","5792/191179",3.5456162840377e-23,24,"DDX19A/FASTKD5/MRPS28/NOP2/NUDT16/PNRC2/POLR2G/POLR2K/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/UTP3",2.83649302723016e-22
"GO:0043232","CC","intracellular non-membrane-bounded organelle","24/51","5791/191179",3.53141698652756e-23,24,"DDX19A/FASTKD5/MRPS28/NOP2/NUDT16/PNRC2/POLR2G/POLR2K/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/UTP3",2.83649302723016e-22
"GO:0005654","CC","nucleoplasm","21/51","4167/191179",7.42737519931366e-22,21,"ADAT3/DDX19A/FIP1L1/FUBP1/HNRNPA3/NOP2/NUDT16/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/RBM4/RPS20/RPS29/RPS8/RPSA/SMN1/SNRNP27/UTP3",5.6589525328104e-21
"GO:0022625","CC","cytosolic large ribosomal subunit","7/51","60/191179",2.38888925222049e-17,7,"RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8",1.7373740016149e-16
"GO:0005829","CC","cytosol","18/51","5485/191179",1.90508092703667e-15,18,"EIF4A1/FIP1L1/PNRC2/POLR2K/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1",1.32527368837334e-14
"GO:0015934","CC","large ribosomal subunit","7/51","117/191179",3.03266878313605e-15,7,"RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8",2.02177918875737e-14
"GO:0005665","CC","RNA polymerase II, core complex","5/51","15/191179",3.308122376596e-15,5,"POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K",2.11719832102144e-14
"GO:0140513","CC","nuclear protein-containing complex","11/51","1259/191179",3.62403299610263e-14,11,"FIP1L1/HNRNPA1L2/HNRNPA3/NXF5/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/SNRNP27/ZRSR2P1",2.23017415144777e-13
"GO:0015935","CC","small ribosomal subunit","6/51","75/191179",5.27413975682415e-14,6,"MRPS28/RPS20/RPS27L/RPS29/RPS8/RPSA",3.12541615219209e-13
"GO:0022627","CC","cytosolic small ribosomal subunit","5/51","41/191179",8.21248236479058e-13,5,"RPS20/RPS27L/RPS29/RPS8/RPSA",4.69284706559462e-12
"GO:0016591","CC","RNA polymerase II, holoenzyme","5/51","87/191179",4.01207247108809e-11,5,"POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K",2.21355722542791e-10
